Character,Pinyin,Meaning,Remarks
无法负担,wúfǎ fùdān,unable to afford,
劳工,láogōng,laborer (usually manual labour),
申诉,shēnsù,appeal/complaint,
员工,yuángōng,employee/staff,
鼓励,gǔlì,encourage,
强制,qiángzhì,force/compel,
遣散费,qiǎnsànfèi,severance pay,
科技业,kējìyè,technology industry,
封闭,fēngbì,closed/sealed,
机台,jītái,machine/equipment,
产业,chǎnyè,industry,
派系,pàixì,faction/clique,
取代,qǔdài,replace/substitute,
协助,xiézhù,assist,
头衔,tóuxián,title,
相处,xiāngchǔ,get along,
团队,tuánduì,team,
礼盒,lǐhé,gift box,
难过,nánguò,sad,
乐透,lètòu,lottery,
中奖,zhòngjiǎng,win a prize,
发票,fāpiào,invoice,
领奖,lǐngjiǎng,receive award,
彩券,cǎiquàn,lottery ticket,
测试,cè shì,test (verb),
旅行,lǚ xíng,travel/trip,
大城市,dà chéng shì,big city,
购物中心,gòu wù zhōng xīn,shopping mall,
打工,dǎ gōng,part-time work,
体验,tǐ yàn,experience,
车贷,chē dài,car loan,
全职,quán zhí,full-time,
忠诚,zhōng chéng,loyal/loyalty,
贸易公司,mào yì gōng sī,Goods Trading company,
难度,nán dù,difficulty （noun),
开车,kāi chē,drive,
边际效用递减,biānjì xiàoyòng dìjiǎn,diminishing marginal utility,
民宿,mínsù,homestay/guesthouse,
旅馆,lǚguǎn,hotel,
旅游,lǚyóu,travel,
豪华,háohuá,luxurious,
方便,fāngbiàn,convenient,
吉隆坡,jílóngpō,Kuala Lumpur,
中心,zhōngxīn,center,
适应,shìyìng,adapt/adjust,
右驾,yòu jià,right-hand drive,
展示架,zhǎnshì jià,display shelf,
组好了,zǔ hǎo le,assembled/put together,
教训,jiàoxun,lesson/teaching,
退钱,tuì qián,refund,
收集,shōují,collect,
天花板,tiānhuābǎn,ceiling,
进货,jìn huò,stock up/purchase inventory,
进口,jìnkǒu,import,
转卖,zhuǎnmài,resell,
有选择性,yǒu xuǎnzéxìng,selective,
折扣,zhékòu,discount,
促销,cùxiāo,promotion (e.g. a sale),
独占,dúzhàn,monopolize,
重要,zhòngyào,important,
贵重,guìzhòng,valuable/precious,
评价,píngjià,evaluation/review,
设计师,shèjìshī,Designer,
基因,jīyīn,Genes/Genetics,
理发店,lǐfàdiàn,Barbershop/Hair salon,
连锁店,liánsuǒdiàn,Chain store / Franchise store,
驾照,jiàzhào,Driving license,
几率,jīlù,Probability/Rate,
规定,guīdìng,Rule/Regulation,
道路,dàolù,Road,
很窄,hěn zhǎi,Very narrow (eg. a narrow road),
可以借过一下吗？,kěyǐ jiè guò yīxià ma?,May I pass through?,
骑脚踏车,qí jiǎotàchē,Ride a bicycle,
通勤,tōngqín,Commute (eg. to work),
无限使用,wúxiàn shǐyòng,Unlimited use (eg. a multipass train ticket),
约定,yuēdìng,agreement/appointment {noun}/to agree on/to arrange {verb},
飞镖,fēi biāo,darts,
丢飞镖,diū fēi biāo,throw darts,
酒吧餐馆,jiǔ bā cān guǎn,bar restaurant,
轻食,qīng shí,light food,
共用,gòng yòng,shared (adjective),
塞车,sāi chē,traffic jam,
赛车,sài chē,racing car,
塞车塞了两个小时,sāi chē sāi le liǎng gè xiǎo shí,stuck in traffic for two hours,
避免,bì miǎn,avoid (verb),
孤僻,gū pì,antisocial/reclusive,
资料分析,zī liào fēn xī,data analysis,
软件工程师,ruǎn jiàn gōng chéng shī,software engineer,
统计,tǒng jì,statistics,
金融业,jīn róng yè,Finance Industry,
应酬,yìng chou,business socializing/entertainment,
家庭主妇,jiā tíng zhǔ fù,housewife,
社会,shè huì,society (noun),
平等,píng děng,equal (e.g. equal pay),
失败,shī bài,failure,
忠诚度,zhōng chéng dù,loyalty,
稳定性,wěn dìng xìng,stability,
能力,néng lì,ability,
技术,jì shù,skill,
网路,wǎng lù,internet,
家族公司,jiā zú gōng sī,family business,
公平,gōng píng,fair (e.g. fair laws),
中年转业,zhōng nián zhuǎn yè,mid-career change,
裁员,cái yuán,layoff (different from firing),
情节,qíngjié,"plot {noun}, circumstance {noun}",
庆祝,qìngzhù,celebrate {verb},
回忆,huíyì,"memory {noun}, recall {verb}",
落差,luòchā,"gap {noun}, difference {noun}",
酒色财气,jiǔ sè cái qì,"wine, women, wealth and temper {idiom}",
健忘症,jiànwàngzhèng,"amnesia {noun}, forgetfulness {noun}",
失忆,shīyì,"loss of memory {noun}, amnesia {noun}",
安养中心,ānyǎng zhōngxīn,nursing home {noun},
翻译,fānyì,"translate {verb}, translation {noun}, translator {noun}",
孙子,sūnzi,"grandchild {noun}, grandson {noun}",
时代,shídài,"era {noun}, age {noun}",
现代,xiàndài,"modern times {noun}, contemporary {adjective}",
传奇,chuánqí,"legend {noun}, legendary {adjective}",
新闻,xīnwén,news {noun},
挣扎,zhēngzhá,struggle {verb/noun},
抓住,zhuāzhù,"catch {verb}, grasp {verb}",
机会,jīhuì,"chance {noun}, opportunity {noun}",
偏执,piānzhí,"paranoid {adjective}, obstinate {adjective}",
交接,jiāojiē,"hand over {verb}, transfer {verb}",
投资,tóuzī,"investment {noun}, invest {verb}",
银行,yínháng,bank {noun},
要求,yāoqiú,"request {noun/verb}, requirement {noun}, demand {verb}",
毕业证书,bìyè zhèngshū,"graduation certificate {noun}, diploma {noun}",
背景调查,bèijǐng diàochá,background check {noun},
提出离职,tíchū lízhí,submit resignation {verb phrase},
控制,kòngzhì,control {verb/noun},
不好搞,bù hǎo gǎo,difficult to deal with {phrase},
抱怨,bàoyuàn,"complain {verb}, complaint {noun}",
楼梯,lóutī,"stairs {noun}, staircase {noun}",
旅游团,lǚyóutuán,tour group {noun},
都可以配合,dōu kěyǐ pèihé,can cooperate/accommodate {phrase},
很有弹性,hěn yǒu tánxìng,very flexible {phrase},
电梯,diàntī,"elevator {noun}, lift {noun}",
租车,zūchē,"rent a car {verb phrase}, car rental {noun}",
导游,dǎoyóu,tour guide {noun},
司机,sījī,driver {noun},
最近一次,zuìjìn yīcì,most recent time {phrase},
钥匙,yàoshi,key {noun},
锁匙,suǒshi,key {noun},
磨合,móhé,"break in {verb}, adjustment period {noun}",
啃老族,kěnlǎozú,"NEET {noun}, adults dependent on parents {noun}",
婆媳问题,póxí wèntí,mother-in-law and daughter-in-law problem {noun phrase},
通婚,tōnghūn,intermarriage {noun},
预售屋,yùshòuwū,pre-sale property {noun},
装潢,zhuānghuáng,"decoration {noun}, renovate {verb}",
保姆,bǎomǔ,"nanny {noun}, babysitter {noun}",
坐月子,zuò yuèzi,postpartum confinement {verb phrase/noun},
留职停薪,liúzhí tíngxīn,unpaid leave {noun},
预产期,yùchǎnqī,"due date {noun}, expected delivery date {noun}",
心情,xīnqíng,mood {noun},
情绪,qíngxù,"emotion {noun}, mood {noun}",
勒索,lēsuǒ,"blackmail {verb/noun}, extortion {noun}",
情勒,qínglè,emotional blackmail {noun},
和平,hépíng,"peace {noun}, peaceful {adjective}",
预告期,yùgàoqī,notice period {noun},
未知,wèizhī,unknown {adjective/noun},
环境,huánjìng,environment {noun},
主管,zhǔguǎn,"supervisor {noun}, manager {noun}",
试用期,shìyòngqī,"probation period {noun}, trial period {noun}",
形式上,xíngshìshàng,"formally {adverb}, in form {phrase}",
中小企业,zhōngxiǎo qǐyè,small and medium enterprises (SME) {noun},
做一天和尚，敲一天钟,"zuò yītiān héshàng, qiāo yītiān zhōng",do the bare minimum {idiom},
事假,shìjià,personal leave {noun},
亚洲,Yàzhōu,Asia {proper noun},
东南亚,Dōngnányà,Southeast Asia {proper noun},
圣诞节,shèngdànjié,Christmas {noun},
节日,jiérì,holiday {noun},
中秋节,zhōngqiūjié,Mid-Autumn Festival {noun},
平淡,píngdàn,"plain, bland {adjective}",
養生,yǎngshēng,"health preservation, wellness {noun/verb}",
減少,jiǎnshǎo,"to reduce, to decrease {verb}",
糖量的攝取,tángliàng de shèqǔ,sugar intake {noun phrase},
偶爾,ǒu'ěr,occasionally {adverb},
交際,jiāojì,to socialize {verb},
剋制,kèzhì,"to restrain, to control oneself {verb}",
迷上,míshàng,"to be obsessed with, to be hooked on / enthusiast. Non-negative connotation {verb}",
太清淡,tài qīngdàn,"too bland, too light (in flavor) {adjective phrase}",
蒸的,zhēng de,steamed {adjective},
很撑,hěn chēng,very full (after eating) {adjective phrase},
限时,xiànshí,time-limited {adjective},
消化,xiāohuà,"to digest, digestion {verb/noun}",
策略,cèlüè,strategy {noun},
胃口,wèikǒu,appetite {noun},
呆賬,dāi zhàng,Bad debt,
坏账,huài zhàng,Bad debt,
坏的,huài de,Bad,
贷款,dài kuǎn,Loan,
如果 他们对我负责的部分 有问题的话， 我 会 回答。,"Rúguǒ tāmen duì wǒ fùzé de bùfèn yǒu wèntí dehuà, wǒ huì huídá.","If they have problems with the part I'm responsible for, I will answer. (sentence)",
部分,bù fèn,"Part, portion",
刁难,diāo nán,To make things difficult for someone,
适当,shì dàng,"Appropriate, suitable",
代理人,dài lǐ rén,"Agent, representative",
效率,xiào lǜ,Efficiency,
消费,xiāo fèi,"Consumption, spending",
金融,jīn róng,"Finance, financial",
风险,fēng xiǎn,Risk,
改善,gǎi shàn,Improve,
更新,gēng xīn,Update,
升级,shēng jí,Upgrade,
缺点,quē diǎn,"Shortcoming, disadvantage",
资料,zī liào,"Data, materials",
宝贵,bǎo guì,precious,
周休二日,zhōu xiū èr rì,two-day weekend,
喜剧,xǐ jù,comedy,
生意,shēng yì,business,
电影票,diàn yǐng piào,movie ticket,
大片,dà piàn,blockbuster,
动漫,dòng màn,animation,
鬼灭之刃,guǐ miè zhī rèn,Demon Slayer,
歌舞剧,gē wǔ jù,musical,
动作片,dòng zuò piàn,action movie,
过瘾,guò yǐn,feel excellent/satisfying,
暴力,bào lì,violent,
分心,fēn xīn,distracting,
专心,zhuān xīn,concentrate,
爆米花,bào mǐ huā,popcorn,
口味,kǒu wèi,taste,
尝味道,cháng wèi dào,taste/try the flavor,
娱乐台,yú lè tái,entertainment station,
艺人,yì rén,artist/entertainer,
演艺界,yǎn yì jiè,entertainment industry,
发达,fā dá,developed,
审查,shěn chá,censorship/review,
警告,jǐng gào,warn,
坐牢,zuò láo,go to jail,
言论自由,yán lùn zì yóu,freedom of speech,
独裁,dú cái,dictatorship,
民主,mín zhǔ,democracy,
反对,fǎn duì,against,
毒品,dú pǐn,drug,
抗议,kàng yì,protest,
泰国,tài guó,Thailand,
无期徒刑,wú qī tú xíng,life sentence,
同性恋,tóng xìng liàn,homosexual/gay,
实习,shí xí,internship,
娘娘腔,niáng niáng qiāng,effeminate (derogatory),
接续,jiēxù,continue,
延伸,yánshēn,extend,
海报,hǎibào,poster,
动作,dòngzuò,action (movie),
无聊,wúliáo,boring,
整形,zhěngxíng,plastic surgery,
时髦,shímáo,fashionable/trendy,
期待,qīdài,look forward to,
刺激,cìjī,exciting/stimulating,
法院,fǎyuàn,court (of law),
会议,huìyì,meeting,
顺利,shùnlì,smooth/smoothly,
移民局,yímínjú,immigration office,
电子通关,diànzǐ tōngguān,electronic customs clearance,
高阶,gāojiē,high-level/senior,
监督,jiāndū,supervise/monitor,
腔调,qiāngdiào,accent/tone,
账户,zhànghù,account (e.g. bank account),
